Model,p,D,rho
GPT2_Gender-PPL-permutation,9.999000099990002e-05,,
GPT2_Gender-NW-permutation,9.999000099990002e-05,,
GPT2_Series-PPL-correlation,2.0682695212716556e-70,,-0.15050752979700663
GPT2_Series-NW-correlation,7.123353092170165e-15,,-0.06633173888345409
GPT2_YearAv-PPL-correlation,1.5412134165014697e-54,,-0.13236956708847414
GPT2_Vision-PPL-permutation,9.999000099990002e-05,,
GPT2_Vision-NW-permutation,0.27107289271072893,,
GPT2_Clinical-PPL-permutation,0.6407359264073592,,
GPT2_Clinical-NW-permutation,0.031296870312968704,,
GPT2_Peacock_gender,7.873405965005541e-15,0.08769514599048034,
GPT2_Peacock_vision,2.501406211406512e-09,0.31578947368421056,
GPT2_Peacock_clinical,0.018025279053504963,0.28,
