Model,p,D,rho
OLMo-7B_Gender-PPL-permutation,9.999000099990002e-05,,
OLMo-7B_Gender-NW-permutation,9.999000099990002e-05,,
OLMo-7B_Series-PPL-correlation,9.98969130225739e-60,,-0.13840910322244965
OLMo-7B_Series-NW-correlation,7.123353092170165e-15,,-0.06633173888345409
OLMo-7B_YearAv-PPL-correlation,5.595132556017198e-80,,-0.16084264803895476
OLMo-7B_Vision-PPL-permutation,9.999000099990002e-05,,
OLMo-7B_Vision-NW-permutation,0.6452354764523548,,
OLMo-7B_Clinical-PPL-permutation,9.999000099990002e-05,,
OLMo-7B_Clinical-NW-permutation,9.999000099990002e-05,,
OLMo-7B_Peacock_gender,2.1777190394672384e-15,0.08914228312871295,
OLMo-7B_Peacock_vision,1.4948538996475226e-18,0.4491228070175438,
OLMo-7B_Peacock_clinical,8.342507029557468e-09,0.5666666666666667,
